family,model,layer,head,delta_ioi,delta_anti,abs_delta_ioi,abs_delta_anti,strength,category
pythia,pythia-160m,6,9,-0.3189812898635864,0.0,0.3189812898635864,0.0,0.3189812898635864,ioi_only
pythia,pythia-160m,7,0,0.0,-0.1297380328178405,0.0,0.1297380328178405,0.1297380328178405,anti_only
pythia,pythia-160m,7,1,-0.1291487216949463,0.0,0.1291487216949463,0.0,0.1291487216949463,ioi_only
pythia,pythia-160m,7,3,-0.4725011587142944,0.0,0.4725011587142944,0.0,0.4725011587142944,ioi_only
pythia,pythia-160m,7,5,0.0,-0.05703866481781,0.0,0.05703866481781,0.05703866481781,anti_only
pythia,pythia-160m,7,9,-0.190393328666687,0.0,0.190393328666687,0.0,0.190393328666687,ioi_only
pythia,pythia-160m,8,1,-0.1307435035705566,-0.0750486254692077,0.1307435035705566,0.0750486254692077,0.2057921290397643,shared
pythia,pythia-160m,8,3,0.0,-0.0431219935417175,0.0,0.0431219935417175,0.0431219935417175,weak
pythia,pythia-160m,8,5,0.0,-0.0627950429916381,0.0,0.0627950429916381,0.0627950429916381,anti_only
pythia,pythia-160m,9,0,0.0,-0.2654035687446594,0.0,0.2654035687446594,0.2654035687446594,anti_only
pythia,pythia-160m,9,3,0.0,-0.1370392441749572,0.0,0.1370392441749572,0.1370392441749572,anti_only
pythia,pythia-160m,9,5,-0.3323298692703247,0.0,0.3323298692703247,0.0,0.3323298692703247,ioi_only
pythia,pythia-160m,9,6,0.0,-0.1761439442634582,0.0,0.1761439442634582,0.1761439442634582,anti_only
pythia,pythia-160m,9,7,0.0,-0.0972632765769958,0.0,0.0972632765769958,0.0972632765769958,anti_only
pythia,pythia-160m,9,10,-0.1665848493576049,0.0,0.1665848493576049,0.0,0.1665848493576049,ioi_only
pythia,pythia-160m,10,0,0.0,-0.0443130135536193,0.0,0.0443130135536193,0.0443130135536193,weak
pythia,pythia-160m,10,1,-0.1249743700027465,0.0,0.1249743700027465,0.0,0.1249743700027465,ioi_only
pythia,pythia-160m,10,3,0.0,-0.0501511096954345,0.0,0.0501511096954345,0.0501511096954345,anti_only
pythia,pythia-160m,10,4,0.0,-0.1185479760169982,0.0,0.1185479760169982,0.1185479760169982,anti_only
pythia,pythia-160m,10,5,0.0,-0.0485670566558837,0.0,0.0485670566558837,0.0485670566558837,weak
pythia,pythia-160m,10,6,0.0,-0.0758398175239563,0.0,0.0758398175239563,0.0758398175239563,anti_only
pythia,pythia-160m,10,7,0.0,-0.0493994355201721,0.0,0.0493994355201721,0.0493994355201721,weak
pythia,pythia-160m,11,0,0.0,-0.0603016018867492,0.0,0.0603016018867492,0.0603016018867492,anti_only
